iter	RMSE
0	37.77063253
1	36.83858299
2	36.00486305
3	35.20328354
4	34.51693184
5	33.83663425
6	33.15449882
7	32.56816556
8	31.98521966
9	31.49426745
10	31.04091046
11	30.55397685
12	30.07795752
13	29.65209163
14	29.26464864
15	28.91241066
16	28.57127862
17	28.23308756
18	27.91498882
19	27.66918854
20	27.38211232
21	27.1318837
22	26.9076842
23	26.70296405
24	26.51052468
25	26.32354164
26	26.10553756
27	25.91270346
28	25.73364027
29	25.6084572
30	25.45644033
31	25.32294353
32	25.19857059
33	25.07209848
34	24.94928757
35	24.79863397
36	24.69416474
37	24.58352758
38	24.46489505
39	24.35496624
40	24.26541154
41	24.16559644
42	24.07611293
43	23.99463424
44	23.91699207
45	23.84685582
46	23.80604665
47	23.73002047
48	23.64851538
49	23.58183769
50	23.50254177
51	23.42333265
52	23.39722328
53	23.33979897
54	23.27492638
55	23.23344621
56	23.21405778
57	23.19381352
58	23.16721329
59	23.12070541
60	23.10978666
61	23.06874315
62	23.03874183
63	22.98582341
64	22.9756673
65	22.9329611
66	22.91215634
67	22.89542561
68	22.82649989
69	22.74995455
70	22.69408305
71	22.68504589
72	22.66738423
73	22.63528459
74	22.62565815
75	22.61632659
76	22.57016768
77	22.52501787
78	22.46631094
79	22.43670404
80	22.39836166
81	22.38511283
82	22.37248839
83	22.35723049
84	22.29661487
85	22.26379778
86	22.23161384
87	22.16918997
88	22.12653442
89	22.1187126
90	22.07424049
91	22.06911573
92	22.06377055
93	22.05927923
94	22.03681054
95	22.01682018
96	21.99639049
97	21.97388978
98	21.95606381
99	21.90849307
100	21.87573599
101	21.8395052
102	21.83534377
103	21.8303127
104	21.81089473
105	21.79659418
106	21.75648058
107	21.7380223
108	21.72358628
109	21.71972949
110	21.70264929
111	21.66249213
112	21.65131844
113	21.60555024
114	21.56649
115	21.52133586
116	21.4953874
117	21.4620962
118	21.44212825
119	21.41554081
120	21.37823568
121	21.36394231
122	21.34675081
123	21.30668926
124	21.26725363
125	21.23616303
126	21.20743616
127	21.19107573
128	21.16473075
129	21.14383392
130	21.13200968
131	21.10425182
132	21.09454494
133	21.06447134
134	21.0373398
135	21.0072174
136	20.97684335
137	20.94833547
138	20.92290606
139	20.8880213
140	20.86575817
141	20.8406251
142	20.83519138
143	20.82580684
144	20.79530557
145	20.76943898
146	20.74888345
147	20.74216919
148	20.70624887
149	20.69520985
150	20.67757256
151	20.65278967
152	20.61569545
153	20.60712585
154	20.60424658
155	20.5764196
156	20.57422255
157	20.56139694
158	20.54513642
159	20.52284531
160	20.48775343
161	20.48323554
162	20.4761985
163	20.47359089
164	20.46720764
165	20.43234379
166	20.4098654
167	20.39670388
168	20.37365196
169	20.34693042
170	20.32039012
171	20.31685799
172	20.27975124
173	20.25736536
174	20.2280603
175	20.20192177
176	20.17920802
177	20.17368126
178	20.1654662
179	20.14683107
180	20.14307598
181	20.1131784
182	20.09518265
183	20.09013639
184	20.06309283
185	20.03729047
186	20.03029574
187	19.99947442
188	19.97078905
189	19.94506915
190	19.93587932
191	19.91624971
192	19.88834266
193	19.85798993
194	19.83067809
195	19.81475114
196	19.80491281
197	19.77710987
198	19.73796418
199	19.72246672
200	19.71181805
201	19.69064396
202	19.66480556
203	19.63555148
204	19.61955252
205	19.59948121
206	19.5954099
207	19.58232215
208	19.56168314
209	19.53251512
210	19.50440067
211	19.47479872
212	19.45053825
213	19.42483472
214	19.40171582
215	19.39905799
216	19.37582194
217	19.34591843
218	19.32442015
219	19.30048775
220	19.27593131
221	19.25284517
222	19.2304273
223	19.20819611
224	19.20563907
225	19.20389177
226	19.17550576
227	19.14428546
228	19.12177079
229	19.10538758
230	19.08063557
231	19.05181211
232	19.02451328
233	18.99854531
234	18.97328605
235	18.9593263
236	18.93865963
237	18.90741427
238	18.88711809
239	18.86412119
240	18.84770197
241	18.83004922
242	18.80892105
243	18.78144974
244	18.76082428
245	18.74126645
246	18.70565265
247	18.68591081
248	18.6613832
249	18.64200867
250	18.63025711
251	18.60687152
252	18.58805105
253	18.57269842
254	18.54819479
255	18.52924335
256	18.51101765
257	18.49186118
258	18.47385271
259	18.45445699
260	18.43492818
261	18.43142832
262	18.41228943
263	18.39372412
264	18.37896801
265	18.35827463
266	18.3446443
267	18.31741152
268	18.29613937
269	18.26927352
270	18.25457701
271	18.25028241
272	18.21983061
273	18.18809948
274	18.1638302
275	18.14533777
276	18.13687626
277	18.13145374
278	18.11803923
279	18.10131965
280	18.07857248
281	18.06451788
282	18.04488871
283	18.03494377
284	18.01736072
285	18.00097625
286	17.99949683
287	17.9829151
288	17.96471397
289	17.94087229
290	17.92821065
291	17.90629388
292	17.88124252
293	17.85687173
294	17.83511954
295	17.82290565
296	17.79310153
297	17.76718182
298	17.74479017
299	17.7301916
300	17.7183853
301	17.70013551
302	17.69092494
303	17.67437127
304	17.65038175
305	17.62994354
306	17.61378089
307	17.5981756
308	17.58512488
309	17.57478893
310	17.57329518
311	17.5620388
312	17.54478124
313	17.5288921
